,zip,city,state,latitude,longitude,timezone,daylight_savings_time_flag,geopoint
40,85030,Phoenix,AZ,33.276539,-112.18717,-7,0,"33.276539, -112.18717"
41,46671,Topeka,IN,41.532773,-85.539454,-5,0,"41.532773, -85.539454"
42,94555,Fremont,CA,37.571581,-122.0509,-8,1,"37.571581, -122.0509"
43,16509,Erie,PA,42.074056,-80.06927,-5,1,"42.074056, -80.06927"
44,5465,Jericho,VT,44.486113,-72.96317,-5,1,"44.486113, -72.96317"
45,72534,Floral,AR,35.588979,-91.74043,-6,1,"35.588979, -91.74043"
46,21613,Cambridge,MD,38.545285,-76.09117999999998,-5,1,"38.545285, -76.09118"
47,99322,Bickleton,WA,45.963054,-120.25546999999999,-8,1,"45.963054, -120.25547"
48,79330,Justiceburg,TX,33.04993,-101.14146,-6,1,"33.04993, -101.14146"
49,56319,Carlos,MN,45.990781,-95.27033,-6,1,"45.990781, -95.27033"
50,48448,Sciota,MI,42.955783,-84.30092899999998,-5,1,"42.955783, -84.300929"
51,47993,Williamsport,IN,40.300013,-87.38396,-5,0,"40.300013, -87.38396"
52,50585,Sioux Rapids,IA,42.907223,-95.14315,-6,1,"42.907223, -95.14315"
53,49639,Hersey,MI,43.84716,-85.40908,-5,1,"43.84716, -85.40908"
54,44095,Eastlake,OH,41.653796,-81.44614,-5,1,"41.653796, -81.44614"
55,63937,Ellsinore,MO,36.936583,-90.75026,-6,1,"36.936583, -90.75026"
56,20790,Capitol Heights,MD,38.833563,-76.87774299999998,-5,1,"38.833563, -76.877743"
57,58436,Ellendale,ND,46.067077,-98.58044,-6,1,"46.067077, -98.58044"
58,19044,Horsham,PA,40.184758,-75.14386,-5,1,"40.184758, -75.14386"
59,68404,Martell,NE,40.617147,-96.7559,-6,1,"40.617147, -96.7559"
60,5141,Cambridgeport,VT,42.99467,-72.72036199999998,-5,1,"42.99467, -72.720362"
61,80007,Arvada,CO,39.833442,-105.18591,-7,1,"39.833442, -105.18591"
62,70821,Baton Rouge,LA,30.461252,-91.044723,-6,1,"30.461252, -91.044723"
63,49621,Cedar,MI,44.872464,-85.78716,-5,1,"44.872464, -85.78716"
64,53038,Johnson Creek,WI,43.075784,-88.77594999999998,-6,1,"43.075784, -88.77595"
65,29715,Fort Mill,SC,35.008416,-80.91643999999998,-5,1,"35.008416, -80.91644"
66,54738,Eleva,WI,44.586469,-91.48873,-6,1,"44.586469, -91.48873"
67,32766,Oviedo,FL,28.639275,-81.11906,-5,1,"28.639275, -81.11906"
68,46250,Indianapolis,IN,39.905689,-86.06733,-5,0,"39.905689, -86.06733"
69,12482,South Cairo,NY,42.270559,-73.95729,-5,1,"42.270559, -73.95729"
70,59859,Plains,MT,47.452071,-114.8171,-7,1,"47.452071, -114.8171"
71,28779,Sylva,NC,35.37273,-83.20771999999998,-5,1,"35.37273, -83.20772"
72,62811,Bellmont,IL,38.384799,-87.90949,-6,1,"38.384799, -87.90949"
73,51546,Logan,IA,41.64252,-95.78134,-6,1,"41.64252, -95.78134"
74,68137,Omaha,NE,41.204631,-96.12108,-6,1,"41.204631, -96.12108"
75,93765,Fresno,CA,36.746375,-119.63965800000001,-8,1,"36.746375, -119.639658"
76,16664,New Enterprise,PA,40.174807,-78.41772,-5,1,"40.174807, -78.41772"
77,68718,Bloomfield,NE,42.651113,-97.67271,-6,1,"42.651113, -97.67271"
78,20753,District Heights,MD,38.833563,-76.87774299999998,-5,1,"38.833563, -76.877743"
79,70585,Turkey Creek,LA,30.871853,-92.40532,-6,1,"30.871853, -92.40532"
80,3561,Littleton,NH,44.313606,-71.79751,-5,1,"44.313606, -71.79751"
81,67030,Colwich,KS,37.787206,-97.54135,-6,1,"37.787206, -97.54135"
82,15831,Dagus Mines,PA,41.304782,-78.621286,-5,1,"41.304782, -78.621286"
83,6825,Bridgeport,CT,41.191685,-73.238012,-5,1,"41.191685, -73.238012"
84,87421,Waterflow,NM,36.877607,-108.62606000000001,-7,1,"36.877607, -108.62606"
85,20889,Bethesda,MD,39.143979,-77.207617,-5,1,"39.143979, -77.207617"
86,54310,Liberty Grove,WI,45.210664,-87.041244,-6,1,"45.210664, -87.041244"
87,45623,Crown City,OH,38.630633,-82.2697,-5,1,"38.630633, -82.2697"
88,85627,Pomerene,AZ,32.09881,-110.09917,-7,0,"32.09881, -110.09917"
89,13061,Erieville,NY,42.859332,-75.74261,-5,1,"42.859332, -75.74261"
90,36859,Holy Trinity,AL,32.229846,-85.008178,-6,1,"32.229846, -85.008178"
91,35052,Cook Springs,AL,33.593115,-86.4084,-6,1,"33.593115, -86.4084"
92,74536,Clayton,OK,34.590491,-95.36797,-6,1,"34.590491, -95.36797"
93,56533,Elizabeth,MN,46.405807,-96.15831,-6,1,"46.405807, -96.15831"
94,51501,Council Bluffs,IA,41.251631,-95.87447,-6,1,"41.251631, -95.87447"
95,89138,Las Vegas,NV,35.927901,-114.97206100000001,-8,1,"35.927901, -114.972061"
96,73944,Hardesty,OK,36.605467,-101.1204,-6,1,"36.605467, -101.1204"
97,99202,Spokane,WA,47.656692,-117.37898999999999,-8,1,"47.656692, -117.37899"
98,75389,Dallas,TX,32.767268,-96.777626,-6,1,"32.767268, -96.777626"
99,68157,Omaha,NE,41.182198,-95.99058,-6,1,"41.182198, -95.99058"
100,68026,Fremont,NE,41.567907,-96.617443,-6,1,"41.567907, -96.617443"
101,14047,Derby,NY,42.694598,-78.98151,-5,1,"42.694598, -78.98151"
102,60067,Palatine,IL,42.10979,-88.04917,-6,1,"42.10979, -88.04917"
103,70630,Bell City,LA,30.077002,-93.03224,-6,1,"30.077002, -93.03224"
104,12465,Pine Hill,NY,42.136293,-74.473639,-5,1,"42.136293, -74.473639"
105,99203,Spokane,WA,47.629091,-117.40636,-8,1,"47.629091, -117.40636"
106,39406,Hattiesburg,MS,31.172142,-89.29477199999998,-6,1,"31.172142, -89.294772"
107,16679,Six Mile Run,PA,40.163172,-78.20555,-5,1,"40.163172, -78.20555"
108,31563,Surrency,GA,31.715778000000004,-82.19784,-5,1,"31.715778, -82.19784"
109,35903,Gadsden,AL,33.996698,-85.92496,-6,1,"33.996698, -85.92496"
110,28123,Mount Mourne,NC,35.529792,-80.947028,-5,1,"35.529792, -80.947028"
111,99505,Fort Richardson,AK,61.261518,-149.66336,-9,1,"61.261518, -149.66336"
112,33411,West Palm Beach,FL,26.719596,-80.22077,-5,1,"26.719596, -80.22077"
113,83274,Shelley,ID,43.366017,-112.11712,-7,1,"43.366017, -112.11712"
114,16023,Cabot,PA,40.796809,-79.75147,-5,1,"40.796809, -79.75147"
115,2883,Peace Dale,RI,41.375317,-71.64393,-5,1,"41.375317, -71.64393"
116,56650,Kelliher,MN,47.997931,-94.55748,-6,1,"47.997931, -94.55748"
117,66752,Ross,KS,37.332679,-94.977587,-6,1,"37.332679, -94.977587"
118,19171,Philadelphia,PA,40.001811,-75.11786999999998,-5,1,"40.001811, -75.11787"
119,38927,Enid,MS,34.135098,-90.01820999999998,-6,1,"34.135098, -90.01821"
120,36560,Mount Vernon,AL,31.088463,-88.03006999999998,-6,1,"31.088463, -88.03007"
121,16261,Widnoon,PA,40.847829,-79.451575,-5,1,"40.847829, -79.451575"
122,29152,Shaw A F B,SC,33.972863,-80.46534,-5,1,"33.972863, -80.46534"
123,50515,Ayrshire,IA,43.023296,-94.85188,-6,1,"43.023296, -94.85188"
124,12992,West Chazy,NY,44.819829,-73.51156,-5,1,"44.819829, -73.51156"
125,5433,Lincoln,VT,44.039878,-73.015358,-5,1,"44.039878, -73.015358"
126,76909,San Angelo,TX,31.39577,-100.68959,-6,1,"31.39577, -100.68959"
127,59871,Sula,MT,45.887807,-113.84407,-7,1,"45.887807, -113.84407"
128,4250,Lisbon,ME,44.027509,-70.1097,-5,1,"44.027509, -70.1097"
129,8542,Princeton,NJ,40.354424,-74.65943,-5,1,"40.354424, -74.65943"
130,47578,Sandborn,IN,38.892783,-87.1913,-5,0,"38.892783, -87.1913"
131,79851,Sierra Blanca,TX,31.182009,-105.34083999999999,-7,1,"31.182009, -105.34084"
132,55597,Loretto,MN,45.015914,-93.47188000000001,-6,1,"45.015914, -93.47188"
133,73134,Oklahoma City,OK,35.612359,-97.57152,-6,1,"35.612359, -97.57152"
134,25630,Lorado,WV,37.80126,-81.70802,-5,1,"37.80126, -81.70802"
135,63036,French Village,MO,37.97861,-90.34637,-6,1,"37.97861, -90.34637"
136,57424,Ashton,SD,45.008745,-98.52375,-6,1,"45.008745, -98.52375"
137,27542,Kenly,NC,35.606392,-78.13755,-5,1,"35.606392, -78.13755"
138,8922,New Brunswick,NJ,40.430006,-74.417344,-5,1,"40.430006, -74.417344"
139,28480,Wrightsville Beach,NC,34.21222,-77.7981,-5,1,"34.21222, -77.7981"
140,73004,Amber,OK,35.152892,-97.85582,-6,1,"35.152892, -97.85582"
141,24175,Troutville,VA,37.427597,-79.90595,-5,1,"37.427597, -79.90595"
142,46242,Indianapolis,IN,39.779492,-86.13283699999998,-5,0,"39.779492, -86.132837"
143,91791,West Covina,CA,34.063645,-117.89743,-8,1,"34.063645, -117.89743"
144,50514,Armstrong,IA,43.398596,-94.47223,-6,1,"43.398596, -94.47223"
145,75631,Beckville,TX,32.237924,-94.46427000000001,-6,1,"32.237924, -94.46427"
146,64944,Kansas City,MO,39.035038,-94.356728,-6,1,"39.035038, -94.356728"
147,67147,Valley Center,KS,37.853935,-97.33059,-6,1,"37.853935, -97.33059"
148,56385,Villard,MN,45.702767,-95.21433,-6,1,"45.702767, -95.21433"
149,32799,Mid Florida,FL,28.744752,-81.22328,-5,1,"28.744752, -81.22328"
150,96765,Lawai,HI,21.930922,-159.499342,-10,0,"21.930922, -159.499342"
151,40143,Hardinsburg,KY,37.777083,-86.48345,-6,1,"37.777083, -86.48345"
152,19708,Kirkwood,DE,39.577567,-75.69006899999998,-5,1,"39.577567, -75.690069"
153,50676,Tripoli,IA,42.807994,-92.26368,-6,1,"42.807994, -92.26368"
154,72353,Lambrook,AR,34.297754,-91.00403,-6,1,"34.297754, -91.00403"
155,13040,Cincinnatus,NY,42.560795,-75.93241,-5,1,"42.560795, -75.93241"
156,22223,Arlington,VA,38.880811,-77.11295,-5,1,"38.880811, -77.11295"
157,66945,Hanover,KS,39.888945,-96.88156,-6,1,"39.888945, -96.88156"
158,94619,Oakland,CA,37.790027,-122.18615,-8,1,"37.790027, -122.18615"
159,79760,Odessa,TX,31.765163,-102.354346,-6,1,"31.765163, -102.354346"
160,14847,Interlaken,NY,42.614518,-76.72405,-5,1,"42.614518, -76.72405"
161,43701,Zanesville,OH,39.949377,-82.00492,-5,1,"39.949377, -82.00492"
162,47591,Vincennes,IN,38.668827,-87.50790999999998,-5,0,"38.668827, -87.50791"
163,80201,Denver,CO,39.726303,-104.856808,-7,1,"39.726303, -104.856808"
164,79951,El Paso,TX,31.694842,-106.29998700000002,-7,1,"31.694842, -106.299987"
165,76020,Azle,TX,32.905693,-97.54845,-6,1,"32.905693, -97.54845"
166,28735,Gerton,NC,35.478887,-82.34855,-5,1,"35.478887, -82.34855"
167,74857,Newalla,OK,35.35161200000001,-97.19507,-6,1,"35.351612, -97.19507"
168,29453,Jamestown,SC,33.235105,-79.61472,-5,1,"33.235105, -79.61472"
169,65018,California,MO,38.624862,-92.56443,-6,1,"38.624862, -92.56443"
170,27495,Greensboro,NC,36.080707,-80.0244,-5,1,"36.080707, -80.0244"
171,14220,Buffalo,NY,42.845758,-78.8187,-5,1,"42.845758, -78.8187"
172,67653,Norcatur,KS,39.907372,-100.20732,-6,1,"39.907372, -100.20732"
173,30410,Ailey,GA,32.196136,-82.50985,-5,1,"32.196136, -82.50985"
174,19898,Wilmington,DE,39.564499,-75.597047,-5,1,"39.564499, -75.597047"
175,58235,Gilby,ND,48.084335,-97.47238,-6,1,"48.084335, -97.47238"
176,6375,Quaker Hill,CT,41.401398,-72.11444,-5,1,"41.401398, -72.11444"
177,46295,Indianapolis,IN,39.779492,-86.13283699999998,-5,0,"39.779492, -86.132837"
178,38229,Gleason,TN,36.223573,-88.60613999999998,-6,1,"36.223573, -88.60614"
179,58421,Carrington,ND,47.450049,-99.08527,-6,1,"47.450049, -99.08527"
180,95050,Santa Clara,CA,37.347791,-121.95131,-8,1,"37.347791, -121.95131"
181,55105,Saint Paul,MN,44.934465,-93.16554,-6,1,"44.934465, -93.16554"
182,72617,Big Flat,AR,36.004445,-92.37364,-6,1,"36.004445, -92.37364"
183,48101,Allen Park,MI,42.254788,-83.21026999999998,-5,1,"42.254788, -83.21027"
184,36690,Mobile,AL,30.658865,-88.177975,-6,1,"30.658865, -88.177975"
185,5255,Manchester Center,VT,43.172699,-73.05261,-5,1,"43.172699, -73.05261"
186,19102,Philadelphia,PA,39.952962,-75.16558,-5,1,"39.952962, -75.16558"
187,43412,Curtice,OH,41.63678,-83.30723999999998,-5,1,"41.63678, -83.30724"
188,35254,Birmingham,AL,33.544622,-86.929208,-6,1,"33.544622, -86.929208"
189,25285,Wallback,WV,38.566365,-81.12923,-5,1,"38.566365, -81.12923"
190,66861,Marion,KS,38.359189,-97.01768000000001,-6,1,"38.359189, -97.01768"
191,1033,Granby,MA,42.254563,-72.51831,-5,1,"42.254563, -72.51831"
192,49085,Saint Joseph,MI,42.074435,-86.47934999999998,-5,1,"42.074435, -86.47935"
193,96119,Madeline,CA,41.021344,-120.52472,-8,1,"41.021344, -120.52472"
194,56473,Pillager,MN,46.368605,-94.4846,-6,1,"46.368605, -94.4846"
195,56459,Lake Hubert,MN,46.498749,-94.251926,-6,1,"46.498749, -94.251926"
196,610,Anasco,PR,18.288319,-67.13604,-4,0,"18.288319, -67.13604"
197,29816,Bath,SC,33.503438,-81.87128,-5,1,"33.503438, -81.87128"
198,43030,Jacksontown,OH,39.968846,-82.430017,-5,1,"39.968846, -82.430017"
199,33162,Miami,FL,25.929571,-80.17838999999998,-5,1,"25.929571, -80.17839"
200,42374,South Carrollton,KY,37.33976,-87.14514,-6,1,"37.33976, -87.14514"
201,78682,Round Rock,TX,30.656816999999997,-97.602552,-6,1,"30.656817, -97.602552"
202,13760,Endicott,NY,42.113974,-76.05256,-5,1,"42.113974, -76.05256"
203,53807,Cuba City,WI,42.607138,-90.44812,-6,1,"42.607138, -90.44812"
204,48224,Detroit,MI,42.410487,-82.94347999999998,-5,1,"42.410487, -82.94348"
205,20733,Churchton,MD,38.801516,-76.52469,-5,1,"38.801516, -76.52469"
206,18452,Peckville,PA,41.48188,-75.58669,-5,1,"41.48188, -75.58669"
207,92690,Mission Viejo,CA,33.640302,-117.769442,-8,1,"33.640302, -117.769442"
208,35457,Echola,AL,33.301003,-87.77187,-6,1,"33.301003, -87.77187"
209,63102,Saint Louis,MO,38.6352,-90.18702,-6,1,"38.6352, -90.18702"
210,82213,Glendo,WY,42.489239,-104.97591000000001,-7,1,"42.489239, -104.97591"
211,3575,Bretton Woods,NH,44.695648,-71.387387,-5,1,"44.695648, -71.387387"
212,64784,Sheldon,MO,37.665823,-94.26399,-6,1,"37.665823, -94.26399"
213,77258,Houston,TX,29.833990000000004,-95.434241,-6,1,"29.83399, -95.434241"
214,20899,Gaithersburg,MD,39.140324,-77.221984,-5,1,"39.140324, -77.221984"
215,2646,Harwich Port,MA,41.669219,-70.07419,-5,1,"41.669219, -70.07419"
216,58530,Center,ND,47.133382,-101.18309,-6,1,"47.133382, -101.18309"
217,40818,Coalgood,KY,36.807137,-83.26551999999998,-5,1,"36.807137, -83.26552"
218,65708,Monett,MO,36.91816,-93.91488,-6,1,"36.91816, -93.91488"
219,61423,Cameron,IL,40.889288,-90.50529,-6,1,"40.889288, -90.50529"
220,84304,Cache Junction,UT,41.832776,-111.99738,-7,1,"41.832776, -111.99738"
221,88417,Cuervo,NM,35.014908,-104.41778,-7,1,"35.014908, -104.41778"
222,12723,Callicoon,NY,41.769427,-75.02808,-5,1,"41.769427, -75.02808"
223,35205,Birmingham,AL,33.497055,-86.8057,-6,1,"33.497055, -86.8057"
224,95628,Fair Oaks,CA,38.654803,-121.26529,-8,1,"38.654803, -121.26529"
225,92090,El Cajon,CA,33.016928,-116.846046,-8,1,"33.016928, -116.846046"
226,13468,Springfield Center,NY,42.843002,-74.86479,-5,1,"42.843002, -74.86479"
227,54762,Prairie Farm,WI,45.24647,-91.99273,-6,1,"45.24647, -91.99273"
228,91301,Agoura Hills,CA,34.139536,-118.7607,-8,1,"34.139536, -118.7607"
229,4274,Poland,ME,44.049157,-70.39077,-5,1,"44.049157, -70.39077"
230,67663,Plainville,KS,39.212784,-99.31688,-6,1,"39.212784, -99.31688"
231,11548,Greenvale,NY,40.813187,-73.62560999999998,-5,1,"40.813187, -73.62561"
232,80118,Larkspur,CO,39.206652,-104.90983,-7,1,"39.206652, -104.90983"
233,96086,Seiad Valley,CA,41.86235,-123.24091000000001,-8,1,"41.86235, -123.24091"
234,94626,Oakland,CA,37.819314,-122.303136,-8,1,"37.819314, -122.303136"
235,98504,Olympia,WA,46.978118,-122.70239299999999,-8,1,"46.978118, -122.702393"
236,98053,Redmond,WA,47.640972,-122.03318,-8,1,"47.640972, -122.03318"
237,36276,Wadley,AL,33.142612,-85.57418,-6,1,"33.142612, -85.57418"
238,55556,Young America,MN,44.805487,-93.766524,-6,1,"44.805487, -93.766524"
239,54731,Conrath,WI,45.36469,-91.04968,-6,1,"45.36469, -91.04968"
240,83643,Mesa,ID,44.605095,-116.48879,-7,1,"44.605095, -116.48879"
241,18932,Line Lexington,PA,40.289372,-75.25571999999998,-5,1,"40.289372, -75.25572"
242,92128,San Diego,CA,32.998855,-117.07054,-8,1,"32.998855, -117.07054"
243,33155,Miami,FL,25.739011,-80.30684999999998,-5,1,"25.739011, -80.30685"
244,15278,Pittsburgh,PA,40.434436,-80.024817,-5,1,"40.434436, -80.024817"
245,81505,Grand Junction,CO,39.112514,-108.60506,-7,1,"39.112514, -108.60506"
246,2909,Providence,RI,41.8191,-71.44775,-5,1,"41.8191, -71.44775"
247,51049,Quimby,IA,42.626822,-95.61438,-6,1,"42.626822, -95.61438"
248,93701,Fresno,CA,36.749444,-119.78872,-8,1,"36.749444, -119.78872"
249,68792,Wynot,NE,42.749481,-97.14372,-6,1,"42.749481, -97.14372"
250,29164,Wagener,SC,33.659078,-81.40845,-5,1,"33.659078, -81.40845"
251,93465,Templeton,CA,35.54464,-120.72428,-8,1,"35.54464, -120.72428"
252,36535,Foley,AL,30.396876,-87.69616,-6,1,"30.396876, -87.69616"
253,34209,Bradenton,FL,27.488866,-82.62737,-5,1,"27.488866, -82.62737"
254,84307,Corinne,UT,41.535714,-112.30373,-7,1,"41.535714, -112.30373"
255,10166,New York,NY,40.754591,-73.97623799999998,-5,1,"40.754591, -73.976238"
256,26561,Big Run,WV,39.575518,-80.666712,-5,1,"39.575518, -80.666712"
257,4747,Island Falls,ME,46.004523,-68.27004,-5,1,"46.004523, -68.27004"
258,62248,Hecker,IL,38.299507,-89.961825,-6,1,"38.299507, -89.961825"
259,24513,Lynchburg,VA,37.245798,-79.13354599999998,-5,1,"37.245798, -79.133546"
260,18221,Drifton,PA,41.004017,-75.90569,-5,1,"41.004017, -75.90569"
261,40078,Willisburg,KY,37.840066,-85.12572,-5,1,"37.840066, -85.12572"
262,30671,Maxeys,GA,33.748344,-83.18537999999998,-5,1,"33.748344, -83.18538"
263,76066,Millsap,TX,32.715412,-98.00165,-6,1,"32.715412, -98.00165"
264,97002,Aurora,OR,45.234609,-122.79749,-8,1,"45.234609, -122.79749"
265,14301,Niagara Falls,NY,43.096555,-79.03924999999998,-5,1,"43.096555, -79.03925"
266,32571,Milton,FL,30.627637,-87.16724,-6,1,"30.627637, -87.16724"
267,10506,Bedford,NY,41.195778,-73.62777,-5,1,"41.195778, -73.62777"
268,60069,Lincolnshire,IL,42.188074,-87.92717,-6,1,"42.188074, -87.92717"
269,74438,Hitchita,OK,35.520519,-95.75122,-6,1,"35.520519, -95.75122"
270,79935,El Paso,TX,31.784541,-106.33705,-7,1,"31.784541, -106.33705"
271,75939,Corrigan,TX,30.998982,-94.7994,-6,1,"30.998982, -94.7994"
272,22959,North Garden,VA,37.935994,-78.64087999999998,-5,1,"37.935994, -78.64088"
273,31071,Pineview,GA,32.13702,-83.52603999999998,-5,1,"32.13702, -83.52604"
274,59501,Havre,MT,48.584562,-109.78365,-7,1,"48.584562, -109.78365"
275,59313,Baker,MT,46.357253,-104.25299,-7,1,"46.357253, -104.25299"
276,79529,Knox City,TX,33.423156,-99.82014,-6,1,"33.423156, -99.82014"
277,8091,West Berlin,NJ,39.807695,-74.93392,-5,1,"39.807695, -74.93392"
278,12527,Glenham,NY,41.520249,-73.933259,-5,1,"41.520249, -73.933259"
279,6907,Stamford,CT,41.096846,-73.52128,-5,1,"41.096846, -73.52128"
280,99624,Larsen Bay,AK,57.529161,-154.00286,-9,1,"57.529161, -154.00286"
281,24431,Crimora,VA,38.167914,-78.84222,-5,1,"38.167914, -78.84222"
282,95318,El Portal,CA,37.673629,-119.81305,-8,1,"37.673629, -119.81305"
283,50475,Sheffield,IA,42.88516,-93.22082,-6,1,"42.88516, -93.22082"
284,95240,Lodi,CA,38.12463,-121.25039,-8,1,"38.12463, -121.25039"
285,4441,Greenville,ME,45.517693,-69.5223,-5,1,"45.517693, -69.5223"
286,53708,Madison,WI,43.06956,-89.423861,-6,1,"43.06956, -89.423861"
287,4947,Kingfield,ME,45.018122,-70.2669,-5,1,"45.018122, -70.2669"
288,25015,Belle,WV,38.224918,-81.5151,-5,1,"38.224918, -81.5151"
289,76179,Fort Worth,TX,32.876475,-97.41249,-6,1,"32.876475, -97.41249"
290,32208,Jacksonville,FL,30.392888,-81.67932999999998,-5,1,"30.392888, -81.67933"
291,33090,Homestead,FL,25.558428,-80.458168,-5,1,"25.558428, -80.458168"
292,64420,Allendale,MO,40.478118,-94.42329400000001,-6,1,"40.478118, -94.423294"
293,22652,Fort Valley,VA,38.823987,-78.4531,-5,1,"38.823987, -78.4531"
294,3467,Westmoreland,NH,42.971069,-72.42512,-5,1,"42.971069, -72.42512"
295,72331,Earle,AR,35.266812,-90.46421,-6,1,"35.266812, -90.46421"
296,18328,Dingmans Ferry,PA,41.241889,-74.95917,-5,1,"41.241889, -74.95917"
297,72636,Gilbert,AR,35.916744,-92.681408,-6,1,"35.916744, -92.681408"
298,71545,Montgomery,LA,31.665809999999997,-92.890325,-6,1,"31.66581, -92.890325"
299,19853,Schuylkill,PA,40.088156,-75.48088699999998,-5,1,"40.088156, -75.480887"
300,28411,Wilmington,NC,34.285519,-77.80571999999998,-5,1,"34.285519, -77.80572"
301,36545,Jackson,AL,31.508231,-87.88346,-6,1,"31.508231, -87.88346"
302,59226,Froid,MT,48.317939,-104.44433,-7,1,"48.317939, -104.44433"
303,40587,Lexington,KY,38.028269,-84.47150499999998,-5,1,"38.028269, -84.471505"
304,71148,Shreveport,LA,32.607556,-93.75256,-6,1,"32.607556, -93.75256"
305,2196,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
306,14823,Canisteo,NY,42.250187,-77.58405999999998,-5,1,"42.250187, -77.58406"
307,78502,Mcallen,TX,26.25671,-98.198929,-6,1,"26.25671, -98.198929"
308,21090,Linthicum Heights,MD,39.209529,-76.66177,-5,1,"39.209529, -76.66177"
309,99740,Fort Yukon,AK,66.566652,-145.28231,-9,1,"66.566652, -145.28231"
310,32834,Orlando,FL,28.566338,-81.260818,-5,1,"28.566338, -81.260818"
311,59330,Glendive,MT,47.107345,-104.72683,-7,1,"47.107345, -104.72683"
312,85282,Tempe,AZ,33.394067,-111.92873,-7,0,"33.394067, -111.92873"
313,47728,Evansville,IN,37.997128,-87.57496299999998,-6,1,"37.997128, -87.574963"
314,12528,Highland,NY,41.713682,-73.99649999999998,-5,1,"41.713682, -73.9965"
315,40222,Louisville,KY,38.26507,-85.61319,-5,1,"38.26507, -85.61319"
316,33689,Tampa,FL,27.871964,-82.43884099999998,-5,1,"27.871964, -82.438841"
317,95317,El Nido,CA,37.127525,-120.50573999999999,-8,1,"37.127525, -120.50574"
318,39460,Moss,MS,32.013235,-89.11656,-6,1,"32.013235, -89.11656"
319,89438,Valmy,NV,41.263287,-118.174506,-8,1,"41.263287, -118.174506"
